difficulty_scenario,examiner_scenario,metric,scenario,mean_rate,sd_rate,q025,q975,true_rate,ratio_to_truth,n_studies
Medium,High,FNR,Convenience sample (naive),0.005037172186520701,0.002449140551357875,0.0013130966907130789,0.00931038232274257,0.026504065040650407,0.19005281562639456,200
Medium,High,FNR,Full-coverage study (reweighted),0.031530154350723996,0.011093362347127734,0.012096908378710098,0.056198473290939084,0.026504065040650407,1.1896346580181139,200
Medium,High,FNR,"Random pair (""reweighted"")",0.031039896697219217,0.01924635455172333,0.0039039203864833453,0.07094214119451005,0.026504065040650407,1.171137206674222,200
Medium,High,FNR,Random pair (naive),0.033280516386787695,0.020097695190335167,0.00400248320718156,0.0749927395393517,0.026504065040650407,1.2556759250229712,200
Medium,High,FPR,"Convenience sample (""reweighted"")",0.0031859931117704183,0.002473513894136839,0,0.008985056203354448,0.01610236220472441,0.19785874092657366,200
Medium,High,FPR,Convenience sample (naive),0.0028715051510525146,0.002243151941496322,0,0.008323452670751843,0.01610236220472441,0.17832819275485054,200
Medium,High,FPR,Full-coverage study (reweighted),0.01871613136877307,0.007332580931149256,0.006448806531755036,0.03339399708775291,0.01610236220472441,1.1623220947844402,200
Medium,High,FPR,"Random pair (""reweighted"")",0.018268636899110503,0.011405958944348602,0.0015179292832134198,0.040923919072076466,0.01610236220472441,1.134531484688036,200
Medium,High,FPR,Random pair (naive),0.019903400970353088,0.011776350726304584,0.0013218575718575718,0.04219931209558589,0.01610236220472441,1.2360547301881868,200
Medium,Low,FNR,"Convenience sample (""reweighted"")",0.0036478898587121045,0.002281969742983104,0,0.008629427735292834,0.025697896749521987,0.14195285685315706,200
Medium,Low,FNR,Convenience sample (naive),0.0033380474789549554,0.0020743042269147803,0,0.008034028003907522,0.025697896749521987,0.12989574639088108,200
Medium,Low,FNR,Full-coverage study (reweighted),0.02467329446153784,0.008715942183917741,0.010193895338141908,0.04422294987782833,0.025697896749521987,0.9601289437041883,200
Medium,Low,FNR,"Random pair (""reweighted"")",0.023756633763518047,0.014790620988602999,0.0027298578614368086,0.05783515649330426,0.025697896749521987,0.9244582930297573,200
Medium,Low,FNR,Random pair (naive),0.025368199444316744,0.014521065629729,0.0025611995104039167,0.05423570484997171,0.025697896749521987,0.9871702611144091,200
Medium,Low,FPR,"Convenience sample (""reweighted"")",0.002138723499652856,0.0018626235362492584,0,0.006264716957048054,0.014675052410901468,0.14573872990491604,200
Medium,Low,FPR,Convenience sample (naive),0.0019219094777122951,0.0017017854160850181,0,0.00554101797742785,0.014675052410901468,0.13096440298125211,200
Medium,Low,FPR,Full-coverage study (reweighted),0.013736133629410483,0.006831202234748115,0.004037906327597601,0.028562212881370334,0.014675052410901468,0.9360193916041143,200
Medium,Low,FPR,"Random pair (""reweighted"")",0.014004524760637961,0.00979269039312849,0,0.035814712803722,0.014675052410901468,0.9543083301177582,200
Medium,Low,FPR,Random pair (naive),0.014738981321776387,0.009557708762420925,0,0.03669845168436515,0.014675052410901468,1.004356298641048,200
Medium,Medium,FNR,"Convenience sample (""reweighted"")",0.003973264756002178,0.002512465657920369,0,0.009293416771506665,0.02447013487475915,0.1623720006586717,200
Medium,Medium,FNR,Convenience sample (naive),0.0035881806946335294,0.0022279304289659465,0,0.00829724932448475,0.02447013487475915,0.14663510082793715,200
Medium,Medium,FNR,Full-coverage study (reweighted),0.02497025642791301,0.0089720324056307,0.010140717899447564,0.04602400535205291,0.02447013487475915,1.0204380382745553,200
Medium,Medium,FNR,"Random pair (""reweighted"")",0.024796661814377764,0.013671757555266216,0.0028962562216825758,0.053386734882696504,0.02447013487475915,1.013343896193863,200
Medium,Medium,FNR,Random pair (naive),0.027240193400237908,0.014232366658900347,0.0027548209366391185,0.055774456521739145,0.02447013487475915,1.113201604308935,200
Medium,Medium,FPR,"Convenience sample (""reweighted"")",0.0020084647435113586,0.0018624050190252524,0,0.006726823778753927,0.013471933471933472,0.14908511444891412,200
Medium,Medium,FPR,Convenience sample (naive),0.0018394099248377712,0.0017125677030921198,0,0.005444809255784872,0.013471933471933472,0.13653644658132222,200
Medium,Medium,FPR,Full-coverage study (reweighted),0.014344615557005697,0.0058274404752539566,0.005212637325041209,0.026896196871143446,0.013471933471933472,1.0647777905740339,200
Medium,Medium,FPR,"Random pair (""reweighted"")",0.0149310008815046,0.00921699550983455,9.642857142857148e-4,0.03377278536501197,0.013471933471933472,1.1083042320993384,200
Medium,Medium,FPR,Random pair (naive),0.016139878553631484,0.009546479327858412,0.0012326169405815432,0.036467835315055354,0.013471933471933472,1.1980372815272753,200
